Nom;Rareté;Image;Prix
Dracaufeu;Rare Holo;https://images.pokemontcg.io/base1/4.png;463,35
Noctali VMAX;Rare Holo VMAX;https://images.pokemontcg.io/swsh7/215.png;2006,42
Keunotor;Common;https://images.pokemontcg.io/swsh12pt5/111.png;0,11
Lugia;Rare Holo;https://images.pokemontcg.io/neo1/9.png;272,53
Mewtwo & Mew-GX;Rare Holo GX;https://images.pokemontcg.io/sm11/71.png;89,72
Pikachu;Common;https://images.pokemontcg.io/g1/RC29.png;82,94
Carchacrok C;Rare Holo LV.X;https://images.pokemontcg.io/pl3/60.png;6,72
Miamiasme;Common;https://images.pokemontcg.io/swsh2/117.png;0,13
Arceus VSTAR;Rare Holo VSTAR;https://images.pokemontcg.io/swsh9/123.png;4,99
Ectoplasma;Rare Holo;https://images.pokemontcg.io/base3/5.png;196,4
Rayquaza;Rare Holo EX;https://images.pokemontcg.io/xy6/75.png;25,06
Papilusion;Rare Holo;https://images.pokemontcg.io/ex6/2.png;27,24
Ratentif;Common;https://images.pokemontcg.io/bw1/77.png;0,2
